ticket_text,category
"Getting duplicate entries every time I refresh the records page",TECHNICAL
"Cant download my exported report, the link is broken",TECHNICAL
"Login works on desktop but fails every time on the mobile app",TECHNICAL
"receiving a cors error in the browser console when calling the api",TECHNICAL
"The drag and drop file uploader just doesn't respond to clicks",TECHNICAL
"Getting an out of memory crash when opening large files",TECHNICAL
"Push notification settings keep resetting on their own",TECHNICAL
"The search bar throws a javascript error and freezes the tab",TECHNICAL
"Two-way sync with our database is 12 hours behind now",TECHNICAL
"App icon shows a red badge but there's nothing new inside",TECHNICAL
"getting 'permission denied' even though i'm listed as an admin",TECHNICAL
"The PDF export cuts off content on the last page every time",TECHNICAL
"Random logout happens mid-session, losing unsaved changes",TECHNICAL
"Chatbot widget on our site throws a console error and disappears",TECHNICAL
"Bulk delete button does nothing when clicked, no confirmation shown",TECHNICAL
"Slack integration keeps disconnecting every few hours",TECHNICAL
"The onboarding wizard gets stuck on step 3 for every new user",TECHNICAL
"Getting a blank invoice PDF when I click download",TECHNICAL
"App won't install on Android 14, install just fails silently",TECHNICAL
"The timezone shown in reports doesn't match our account settings",TECHNICAL
"Getting flooded with duplicate email notifications for one event",TECHNICAL
"Trying to migrate data but the import tool times out every time",TECHNICAL
"can i carry forward unused leave to next year, what's the limit",HR
"Need the org chart updated, my manager changed last month",HR
"Requesting details on the referral bonus payout timeline",HR
"my provident fund statement shows a different employer contribution",HR
"Is there a wellness stipend or gym reimbursement program",HR
"How do I add a dependent to my health insurance policy",HR
"requesting an official letter for my apartment rental application",HR
"When will this year's increment letters be issued",HR
"I'd like to formally raise a workplace harassment complaint",HR
"Can HR confirm my probation period end date in writing",HR
"What's the process for internal job postings and transfers",HR
"My exit interview hasn't been scheduled yet after resigning",HR
"Requesting clarification on the hybrid work days policy",HR
"How many casual leaves do fresh hires get in year one",HR
"I never received my relieving letter from my last role",HR
"Can I get an update on my pending expense reimbursement",HR
"Payroll deducted tax at a higher slab than expected, please review",HR
"requesting parental leave paperwork for early next year",HR
"What documents are needed for the background verification process",HR
"My designation on the offer letter doesn't match my ID card",HR
"Is remote work allowed permanently or only during specific months",HR
"Requesting an update on the pending salary revision",HR
"How do I file for accident/medical insurance claim reimbursement",HR
"There's a delay in my onboarding kit and laptop delivery",HR
"Can HR clarify the policy on carrying forward sick leave",HR
"My employee ID card access isn't working at the new office",HR
"Requesting details about the annual bonus eligibility criteria",HR
"Need to update my emergency contact information on file",HR
"What's the notice period buyout process if I want to leave early",HR
"Requesting a duplicate copy of my appointment letter",HR
"How does the stock options vesting schedule work here",HR
"My manager hasn't submitted my appraisal feedback yet",HR
"Is there a policy for compensatory off after weekend work",HR
"requesting details on the company's paternity leave policy",HR
"Can I get clarification on the shift allowance calculation",HR
"Do you support integration with Zapier or Make.com",GENERAL
"What's included in the enterprise plan that isn't in pro",GENERAL
"Just wanted to say your support team was amazing yesterday",GENERAL
"Is there a public API changelog I can subscribe to",GENERAL
"Can you point me to your accessibility compliance statement",GENERAL
"How do I request a custom feature for our enterprise contract",GENERAL
"Do you have a status page for uptime and incidents",GENERAL
"What's your policy on data retention after account deletion",GENERAL
"Looking for case studies in the healthcare industry specifically",GENERAL
"Do you offer volume discounts for teams over 100 seats",GENERAL
"Can I get a sandbox/test environment before going live",GENERAL
"What's the typical onboarding timeline for enterprise customers",GENERAL
"Do you have an affiliate program I can join",GENERAL
"Is there a public roadmap where I can vote on features",GENERAL
"Can you clarify your SOC 2 compliance status",GENERAL
"general inquiry - do you support right-to-left languages",GENERAL
"Would love a webinar or live demo of the newer features",GENERAL
"What happens to our data if we cancel the subscription",GENERAL
"Do you integrate with on-premise systems or only cloud",GENERAL
"Just curious what tech stack you're built on",GENERAL
"Can I white-label this product for my own clients",GENERAL
"How often do you release new feature updates",GENERAL
"Not a complaint, just wanted to share some product feedback",GENERAL
"Do you have a community forum or Discord for users",GENERAL
"What's your typical customer support response time on weekends",GENERAL
"Is there a limit on how many workspaces we can create",GENERAL
"Requesting an NDA before we share sensitive company data",GENERAL
"Do you support SAML-based single sign-on for enterprise",GENERAL
"Can you recommend an implementation partner in our region",GENERAL
"general question - is there a dark mode planned",GENERAL
"How do I get added to the beta testing program",GENERAL
"Do you offer educational discounts for university students",GENERAL
"Just checking, is customer data ever used to train models",GENERAL
"What's the difference between your monthly and annual contracts",GENERAL
"Do you provide a migration guide from competitor platforms",GENERAL
